population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Oil Patch,South,5,OP5,C,30,215,45,257,0.518487843,0.472200754,0.174064907,0.038922096,1.052246059,16
Oil Patch,South,5,OP5,C,40,216,10,226,0.167080966,0.16235095,0.027113005,0.006062652,0.242922126,16
Oil Patch,South,5,OP5,D,10,137,8,145,0.037543204,0.036224887,0.005659849,0.001265581,0.052884437,16
Oil Patch,South,5,OP5,D,20,75,324,399,0.687200752,0.669404978,0.064398724,0.014399992,0.882301471,16
Oil Patch,South,5,OP5,D,25,36,236,272,0.941526303,0.911563863,0.091284852,0.020411913,1.222529798,16
Oil Patch,South,5,OP5,D,30,111,477,588,1.021569133,1.006063012,0.089900154,0.020102286,1.220641888,16
Oil Patch,South,5,OP5,D,40,192,223,415,0.098047122,0.096564691,0.016599388,0.003711736,0.139058705,16
Oil Patch,South,6,OP6,A,10,166,8,158,0.040227915,0.033135872,0.021989621,0.004917029,0.125636827,16
Oil Patch,South,6,OP6,A,20,88,161,249,0.923349106,0.886788227,0.115214096,0.025762655,1.187239023,16
Oil Patch,South,6,OP6,A,25,51,107,158,1.152795673,1.12757886,0.164432636,0.036768255,1.55801219,16
Oil Patch,South,6,OP6,A,30,180,283,463,1.6009762,1.52474235,0.238935288,0.053427555,2.184566976,16
Oil Patch,South,6,OP6,A,40,418,71,489,0.158096586,0.132036929,0.05395775,0.01206532,0.296840582,16
Oil Patch,South,6,OP6,B,10,79,11,90,0.029832513,0.026189881,0.011821147,0.002643289,0.073743014,16
Oil Patch,South,6,OP6,B,20,54,243,297,1.091849919,1.061274842,0.155869698,0.034853524,1.500883262,16
Oil Patch,South,6,OP6,B,25,8,101,109,1.399675283,1.36386322,0.140532094,0.031423932,1.76296941,16
Oil Patch,South,6,OP6,B,30,8,106,114,1.288395662,1.255667856,0.161919774,0.036206362,1.618575767,16
Oil Patch,South,6,OP6,B,40,136,131,267,0.137486002,0.138842228,0.015698161,0.003510216,0.174192184,16
Oil Patch,South,6,OP6,C,10,96,13,109,0.035073671,0.030958203,0.01049027,0.002345696,0.060393968,16
Oil Patch,South,6,OP6,C,20,9,55,64,0.835764814,0.830557045,0.062000225,0.013863672,0.991596626,16
Oil Patch,South,6,OP6,C,25,47,232,279,1.093255056,1.046600773,0.133749993,0.029907408,1.440045598,16
Oil Patch,South,6,OP6,C,30,21,106,127,1.129139909,1.05511103,0.269407953,0.06024145,1.849825328,16
Oil Patch,South,6,OP6,C,40,99,186,285,0.143042125,0.138322072,0.021474597,0.004801866,0.211465812,16
Oil Patch,South,7,OP7,A,10,662,11,673,0.036956685,0.035510132,0.004966988,0.001110652,0.049641625,16
Oil Patch,South,7,OP7,A,20,79,368,447,1.169546425,1.151252569,0.101671228,0.022734378,1.428119433,16
Oil Patch,South,7,OP7,A,25,62,292,354,1.210480443,1.180386426,0.18809009,0.042058223,1.643369867,16
Oil Patch,South,7,OP7,A,30,49,437,486,1.403442767,1.360431399,0.146964499,0.032862261,1.720252177,16
Oil Patch,South,7,OP7,A,40,415,159,574,0.265972374,0.251843252,0.05783262,0.012931767,0.384996383,16
Oil Patch,South,7,OP7,B,10,277,22,299,0.037513167,0.032802231,0.012562556,0.002809073,0.07128652,16
Oil Patch,South,7,OP7,B,20,280,597,877,0.856449623,0.859451735,0.115258995,0.025772695,1.133366516,16
Oil Patch,South,7,OP7,B,25,49,249,298,1.050290109,1.005438526,0.129251198,0.028901446,1.345726364,16
Oil Patch,South,7,OP7,B,30,103,409,512,0.861195672,0.846723628,0.096885551,0.021664268,1.140635529,16
Oil Patch,South,7,OP7,B,40,273,168,441,0.137677707,0.121495533,0.031210423,0.006978863,0.21233637,16
Oil Patch,South,7,OP7,C,10,1039,77,1116,0.043532307,0.035767586,0.015349481,0.003432248,0.078538718,16
Oil Patch,South,7,OP7,C,20,70,508,578,0.787910724,0.758914846,0.091184379,0.020389447,1.109488791,16
Oil Patch,South,7,OP7,C,25,58,280,338,0.940582086,0.921538523,0.060242886,0.013470719,1.099821983,16
Oil Patch,South,7,OP7,C,30,49,250,299,0.951312165,0.957468764,0.10556396,0.023604819,1.280735852,16
Oil Patch,South,7,OP7,C,40,183,238,421,0.147405671,0.136479298,0.03172555,0.007094049,0.253121397,16
Oil Patch,South,8,OP8,A,10,1017,51,1068,0.029248646,0.026535735,0.005074236,0.001134634,0.039424723,16
Oil Patch,South,8,OP8,A,20,26,317,343,1.043255529,1.000831735,0.136548392,0.030533149,1.371491368,16
Oil Patch,South,8,OP8,A,25,26,144,170,1.332666325,1.264204261,0.183596034,0.041053321,1.81032336,16
Oil Patch,South,8,OP8,A,30,86,402,488,1.092631953,1.075261242,0.252782295,0.056523839,1.672636523,16
Oil Patch,South,8,OP8,A,40,419,234,653,0.065720987,0.058643526,0.019724789,0.004410597,0.115512173,16
