STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/19/2018,,79,54,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/20/2018,,72,47,48,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/21/2018,,57,47,54,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/22/2018,,57,50,56,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/23/2018,,69,56,58,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/24/2018,,80,58,58,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/25/2018,,87,58,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/26/2018,,87,62,68,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/27/2018,,89,64,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/28/2018,,93,67,73,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/29/2018,,92,69,72,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/30/2018,,90,67,68,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,5/31/2018,,76,65,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/1/2018,,84,66,69,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/2/2018,,83,54,55,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/3/2018,,69,53,58,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/4/2018,,70,50,56,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/5/2018,,83,56,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/6/2018,,77,60,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/7/2018,,79,60,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/8/2018,,80,59,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/9/2018,,69,59,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/10/2018,,79,63,63,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/11/2018,,70,62,63,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/12/2018,,76,63,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/13/2018,,76,59,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/14/2018,,78,59,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/15/2018,,75,64,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/16/2018,,89,67,75,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/17/2018,,90,75,79,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/18/2018,,91,74,74,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/19/2018,,84,62,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/20/2018,,67,62,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/21/2018,,69,62,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/22/2018,,65,59,61,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/23/2018,,76,60,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/24/2018,,79,62,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/25/2018,,83,64,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/26/2018,,78,64,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/27/2018,,77,64,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/28/2018,,80,62,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/29/2018,,84,67,72,,,,,,,
