"","population","location","number","ID","ramet","block","pair","exp_trt","exp_max","cntr_trt","cntr_max","CMS"
"135","Prairie Island","North","15","PI15","D",17,86,74.3,121.1,9.12,109.9,0.421429612031931
"136","Prairie Island","North","18","PI18","A",4,21,128.7,260,7.29,244,0.520552574880656
"137","Prairie Island","North","18","PI18","C",14,71,74.6,150.5,6.41,153.1,0.526356460807692
"138","Prairie Island","North","18","PI18","D",20,99,96.2,149.4,7.05,150.4,0.373603704435227
"139","Prairie Island","North","18","PI18","E",21,105,91.7,153.7,11.78,147,0.438524866630991
"140","Prairie Island","North","9","PI19","A",4,17,72.7,180.8,11.23,180.1,0.637658975773898
"141","Prairie Island","North","19","PI19","B",6,31,101.2,199.5,9.38,196.5,0.5174316188076
"142","Prairie Island","North","19","PI19","C",15,73,59.4,102.6,7.08,124.8,0.446375878534256
"143","Prairie Island","North","19","PI19","D",17,85,118.3,176.3,12.66,158.5,0.357543010172221
"144","Prairie Island","North","2","PI2","A",5,25,98.1,197,7.61,198,0.522096908749686
"145","Prairie Island","North","2","PI2","B",6,28,134.8,261,16.5,250,0.517692616932076
"146","Prairie Island","North","2","PI2","C",15,77,94.2,182.5,8.81,178.9,0.508896418253994
"147","Prairie Island","North","2","PI2","D",20,102,102.4,175.7,6.91,202,0.431965014293857
"148","Prairie Island","North","21","PI21","A",2,8,167,319,13.95,327,0.497722128176666
"149","Prairie Island","North","21","PI21","B",7,33,106.9,211,8.28,209,0.513716969620267
"150","Prairie Island","North","21","PI21","C",13,66,90.6,162.5,28.2,195,0.51726618705036
"151","Prairie Island","North","21","PI21","D",17,87,94,149.2,11.1,160.3,0.397498005448181
"152","Prairie Island","North","25","PI25","A",3,15,95.4,167.3,7.86,154.3,0.452834133325322
"153","Prairie Island","North","25","PI25","B",7,36,119.9,214,11.92,208,0.46645084783247
"154","Prairie Island","North","25","PI25","C",11,55,55.3,117.9,7.56,118.8,0.567042993486334
"155","Prairie Island","North","25","PI25","D",16,80,97.5,167.3,12,164.4,0.450066126671405
"156","Prairie Island","North","27","PI27","A",3,13,124.8,241,9.75,265,0.500575060655691
"157","Prairie Island","North","27","PI27","B",8,38,94.9,170.5,8.09,179.6,0.464316692972598
"158","Prairie Island","North","27","PI27","C",13,67,97.2,186.2,11.34,178.9,0.510329082946769
"159","Prairie Island","North","27","PI27","D",19,95,139.5,203,92.8,191.5,0.606917014788307
"160","Prairie Island","North","27","PI27","E",21,109,80.9,129.3,8.5,128.6,0.400815767731582
"161","Prairie Island","North","28","PI28","A",1,1,93.6,229,11.28,250,0.619204900663802
"162","Prairie Island","North","28","PI28","B",8,37,85.5,173.1,11.48,185.4,0.5394699290018
"163","Prairie Island","North","28","PI28","C",14,69,105.3,183.1,5.46,171.6,0.43886841896088
"164","Prairie Island","North","28","PI28","D",16,82,111.5,193.5,16.83,185.3,0.466107108680971
"165","Prairie Island","North","3","PI3","A",4,20,70.2,140.9,8.87,131.1,0.538187120849262
"166","Prairie Island","North","3","PI3","B",9,43,105.6,193,13.82,207,0.48524638354414
"167","Prairie Island","North","3","PI3","C",11,54,87.6,145.6,8.4,142.2,0.423360272014981
"168","Prairie Island","North","3","PI3","D",18,89,104.3,164.7,7.74,148.6,0.386878383726783
"169","Prairie Island","North","30","PI30","A",3,14,123,213,8.93,209,0.441394807591991
"170","Prairie Island","North","30","PI30","B",7,35,108.7,206,9.15,156.4,0.5016803204378
"171","Prairie Island","North","30","PI30","C",13,65,103.4,187.5,10.93,172.4,0.478894820503293
"172","Prairie Island","North","30","PI30","D",16,79,95.1,159.1,9.84,163.2,0.428073012416281
"173","Prairie Island","North","4","PI4","A",1,4,77.5,175.5,6.45,159,0.582014583981152
"174","Prairie Island","North","4","PI4","B",9,44,123.4,235,21.5,238,0.522053953122697
"175","Prairie Island","North","4","PI4","C",11,53,80.7,142.4,6.65,138.5,0.455139799653164
"176","Prairie Island","North","4","PI4","D",17,88,73.4,126.9,9.15,130.7,0.453328250574809
"177","Prairie Island","North","5","PI5","A",4,16,67.4,166.5,9.37,167.5,0.630463512269621
"178","Prairie Island","North","5","PI5","B",8,41,107.7,194.7,10.84,190.4,0.473817010662256
"179","Prairie Island","North","5","PI5","C",15,76,93.6,173.7,7.77,171.5,0.483023833310812
"180","Prairie Island","North","5","PI5","D",19,94,113.9,171.5,40.3,164.6,0.444751131115588
"181","Prairie Island","North","9","PI9","A",1,2,113.7,288,9.85,298,0.625896523801261
"182","Prairie Island","North","9","PI9","B",7,34,113.5,207,14.45,214,0.484399076666461
"183","Prairie Island","North","9","PI9","C",15,74,78.9,139.6,8.2,154.2,0.4592348000157
"184","Prairie Island","North","9","PI9","D",18,91,128.2,213,24.9,188.6,0.458679423312426
"185","Reserve","South","3","RE3","A",3,15,77.9,148.8,9.15,154.3,0.506514858563073
"186","Reserve","South","3","RE3","B",7,35,133,244,10.64,230,0.476983714172974
"187","Reserve","South","3","RE3","C",15,73,76.5,135.9,5.04,129.7,0.454757470120051
"188","Reserve","South","3","RE3","D",17,88,89.1,164.1,9.85,145.6,0.490201029556833
"189","Reserve","South","5","RE5","A",5,26,91.7,184.8,15.18,202,0.54472300350686
"190","Reserve","South","5","RE5","B",10,50,65.1,121.5,16.24,112.6,0.542430904683568
"191","Reserve","South","5","RE5","C",12,62,69.1,129.7,7.75,135.4,0.49559908203601
"192","Reserve","South","5","RE5","D",18,89,94.2,158.3,7.41,145.2,0.426703328790454
"193","Reserve","South","6","RE6","A",4,17,84.7,202,7.47,220,0.601103257175574
"194","Reserve","South","6","RE6","B",6,28,117.7,230,9.32,216,0.510278439259178
"195","Reserve","South","6","RE6","C",15,77,88.9,167.1,8.21,182.8,0.489989901620927
"196","Reserve","South","7","RE7","A",3,12,64,144.3,7.86,159.2,0.585380899904489
"197","Reserve","South","7","RE7","C",13,66,96.3,174.7,30.1,221,0.519528650926845
"198","Reserve","South","7","RE7","D",19,94,115.3,173.2,71.1,194.5,0.526908399803864
"199","Reserve","South","7","RE7","E",21,106,80.5,141.6,6.08,143.8,0.450546716419625
"200","Reserve","South","8","RE8","A",3,11,77.3,170.4,12.03,195.1,0.582264320248983
"201","Reserve","South","8","RE8","C",15,76,76.7,143.4,7.82,133.3,0.494119873965701
"202","Reserve","South","8","RE8","D",17,86,87.8,150.3,9.56,150.9,0.443961376807726
