"","ID","location","population","number","ramet","Cgerm","Hgerm","CPTGR","HPTGR","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"155","PI25","North","Prairie Island","25","D",NA,NA,NA,NA,0.85626991,0.450066126671405,0.319764455,0.783838331,0.271578947368421,0.669527896995708
"156","PI27","North","Prairie Island","27","A",NA,NA,NA,NA,0.950471615,0.500575060655691,0.821173469,0.83902746,NA,NA
"157","PI27","North","Prairie Island","27","B",NA,NA,NA,NA,0.42403558,0.464316692972598,0.339991979,0.614284777,NA,NA
"158","PI27","North","Prairie Island","27","C",NA,NA,NA,NA,0.847169836,0.510329082946769,0.339164113,0.72392245,0.760330578512397,0.225848563968668
"159","PI27","North","Prairie Island","27","D",NA,NA,NA,NA,0.663398691,0.606917014788307,0.498631657,0.797439607,0.996389891696751,0.824104234527687
"160","PI27","North","Prairie Island","27","E",NA,NA,NA,NA,0.638339073,0.400815767731582,0.324377318,0.655197244,NA,NA
"161","PI28","North","Prairie Island","28","A",8.726,50.167,10.244,42.022,0.958188427,0.619204900663802,0.427545133,0.768820126,0.585889570552147,0.883544303797468
"162","PI28","North","Prairie Island","28","B",NA,NA,NA,NA,0.441052312,0.5394699290018,0.836097406,0.778581596,0.4375,0.685840707964602
"163","PI28","North","Prairie Island","28","C",9.131,46.5,9.404,40.733,0.911329482,0.43886841896088,0.375771089,0.624647295,NA,0.231292517006803
"164","PI28","North","Prairie Island","28","D",9.802,47.52,9.94,42.146,0.871619641,0.466107108680971,0.471737914,0.844848524,0.721212121212121,0.331451612903226
"165","PI3","North","Prairie Island","3","A",NA,NA,NA,NA,0.326460743,0.538187120849262,0.64614052,0.816239675,0.552,0.352941176470588
"166","PI3","North","Prairie Island","3","B",NA,NA,NA,NA,0.626073196,0.48524638354414,0.680231788,0.730099248,0.295338983050847,0.0406703910614525
"167","PI3","North","Prairie Island","3","C",NA,NA,NA,NA,0.676485227,0.423360272014981,0.376923077,0.769894744,0.436792452830189,0.394117647058824
"168","PI3","North","Prairie Island","3","D",NA,NA,NA,NA,0.567679656,0.386878383726783,0.336276567,0.321900482,0.66,0.0406703910614525
"169","PI30","North","Prairie Island","30","A",NA,NA,NA,NA,0.982889169,0.441394807591991,0.602522021,0.851964835,NA,0.578680203045685
"170","PI30","North","Prairie Island","30","B",9.037,51.815,10.149,41.953,0.906814171,0.5016803204378,0.387634115,0.617460317,0.301363636363636,0.261607142857143
"171","PI30","North","Prairie Island","30","C",NA,NA,NA,NA,0.859739439,0.478894820503293,0.78044522,0.675950006,NA,NA
"172","PI30","North","Prairie Island","30","D",NA,NA,NA,NA,0.861505569,0.428073012416281,0.555539613,0.703274244,NA,0.379603399433428
"173","PI4","North","Prairie Island","4","A",NA,NA,NA,NA,0.918450088,0.582014583981152,0.265536621,0.748638861,NA,0.698895027624309
"174","PI4","North","Prairie Island","4","B",NA,NA,NA,NA,0.764314126,0.522053953122697,0.302882999,0.458204237,NA,NA
"175","PI4","North","Prairie Island","4","C",NA,NA,NA,NA,0.804060167,0.455139799653164,0.296816768,0.785201149,0.205357142857143,0.890756302521008
"176","PI4","North","Prairie Island","4","D",NA,NA,NA,NA,0.842008113,0.453328250574809,0.38617332,0.77184238,0.571428571428571,0.137694704049844
"177","PI5","North","Prairie Island","5","A",NA,NA,NA,NA,0.769213716,0.630463512269621,0.513016994,0.745148377,NA,0.236330935251799
"178","PI5","North","Prairie Island","5","B",NA,NA,NA,NA,0.406014509,0.473817010662256,0.345607553,0.698255366,0.624338624338624,0.397923875432526
"179","PI5","North","Prairie Island","5","C",NA,NA,NA,NA,0.803958428,0.483023833310812,0.31498834,0.764993536,0.894321766561514,0.448863636363636
"180","PI5","North","Prairie Island","5","D",NA,NA,NA,NA,0.676686687,0.444751131115588,0.449020165,0.747867235,0.692230070635722,0.66
"181","PI9","North","Prairie Island","9","A",NA,NA,NA,NA,0.902590176,0.625896523801261,0.228470437,0.888818136,NA,NA
"182","PI9","North","Prairie Island","9","B",NA,NA,NA,NA,0.884895917,0.484399076666461,0.604926625,0.752936461,NA,NA
"183","PI9","North","Prairie Island","9","C",NA,NA,NA,NA,0.631314022,0.4592348000157,0.530380259,0.8260695,0.616891891891892,0.797297297297297
"184","PI9","North","Prairie Island","9","D",NA,NA,NA,NA,0.634229528,0.458679423312426,0.840106007,0.833827261,NA,NA
"185","RE3","South","Reserve","3","A",NA,NA,NA,NA,0.958796206,0.506514858563073,0.584509271,0.698520454,0.815384615384615,0.891213389121339
"186","RE3","South","Reserve","3","B",NA,NA,NA,NA,0.831487152,0.476983714172974,0.378004882,0.381451544,NA,NA
"187","RE3","South","Reserve","3","C",NA,NA,NA,NA,0.86850207,0.454757470120051,0.490054969,0.665471561,NA,0.825471698113208
"188","RE3","South","Reserve","3","D",NA,NA,NA,NA,0.764110704,0.490201029556833,0.394794721,0.633867196,NA,NA
"189","RE5","South","Reserve","5","A",NA,NA,NA,NA,0.615576324,0.54472300350686,0.82309484,0.54368932,NA,0.734104046242774
"190","RE5","South","Reserve","5","B",NA,NA,NA,NA,0.609995773,0.542430904683568,0.41030508,0.585205993,NA,NA
"191","RE5","South","Reserve","5","C",NA,NA,NA,NA,0.754636503,0.49559908203601,0.469426582,0.595941082,NA,0.682808716707022
"192","RE5","South","Reserve","5","D",NA,NA,NA,NA,0.689335355,0.426703328790454,0.472502441,0.623202514,0.385390428211587,0.466312056737589
"193","RE6","South","Reserve","6","A",NA,NA,NA,NA,0.62572201,0.601103257175574,0.347572816,0.497545382,NA,NA
