,ID,location,population,number,block,HCMS,CCMS,HCHPL,CCHPL,CPS_dif,HPS_dif
180,PI12,North,Prairie Island,12,3,0.928951009,0.505229257,0.569207306,0.696360177,NA,-32.06
181,PI12,North,Prairie Island,12,6,0.770363468,0.515146122,0.430892266,0.725639162,10.316,-7.2
185,PI13,North,Prairie Island,13,11,0.789474853,0.560451791,0.358702532,0.714581156,-22.51,-8.54
186,PI13,North,Prairie Island,13,20,0.938579015,0.393647032,0.542644868,0.653416204,NA,NA
187,PI13,North,Prairie Island,13,4,0.565897936,0.580933553,0.754707605,0.629712859,NA,7.9
188,PI13,North,Prairie Island,13,8,0.372889027,0.442210973,0.47993311,0.59776323,-24.17,NA
192,PI14,North,Prairie Island,14,12,0.783317884,0.478782836,0.364144048,0.71332008,NA,NA
193,PI14,North,Prairie Island,14,19,0.743499403,0.487910673,0.365709765,0.811130504,NA,NA
194,PI14,North,Prairie Island,14,3,0.973552007,0.53722326,0.514098164,0.790425134,NA,-16.8
195,PI14,North,Prairie Island,14,8,0.470390014,0.467068074,0.32353777,0.704441768,-0.6,NA
198,PI15,North,Prairie Island,15,11,0.594137136,0.549834212,0.318986623,0.73266745,-12.7,-4.7
199,PI15,North,Prairie Island,15,17,0.819337232,0.421429612,0.543379569,0.573918112,-21.8,0
200,PI15,North,Prairie Island,15,2,0.823061264,0.537206948,0.22036983,0.8709647,NA,-15
201,PI15,North,Prairie Island,15,9,0.594220665,0.480436417,0.598000422,0.766836372,-22.33,-23.07
206,PI18,North,Prairie Island,18,14,0.915385556,0.526356461,0.398357941,0.750189885,NA,NA
207,PI18,North,Prairie Island,18,20,0.946146927,0.373603704,0.501639344,0.796621974,NA,NA
208,PI18,North,Prairie Island,18,21,0.595532786,0.438524867,0.500261233,0.814821634,NA,NA
209,PI18,North,Prairie Island,18,4,0.538392209,0.520552575,0.625787592,0.808472867,NA,4
211,PI19,North,Prairie Island,19,15,0.855157198,0.446375879,0.987116664,0.793098184,-24.74,-6.5
212,PI19,North,Prairie Island,19,17,0.803933988,0.35754301,0.399621212,0.780854854,NA,NA
213,PI19,North,Prairie Island,19,6,0.568813191,0.517431619,0.43071161,0.725497288,2,-3
214,PI19,North,Prairie Island,19,4,NA,0.637658976,NA,0.7972167,NA,2.1
217,PI2,North,Prairie Island,2,15,0.899687851,0.508896418,0.629617457,0.780404467,NA,NA
218,PI2,North,Prairie Island,2,20,0.900375327,0.431965014,0.568599518,0.879331222,NA,NA
219,PI2,North,Prairie Island,2,5,0.57898255,0.522096909,0.717027573,0.666310439,NA,NA
220,PI2,North,Prairie Island,2,6,0.666112151,0.517692617,0.460094254,0.746441131,13.64,0
222,PI21,North,Prairie Island,21,13,0.792421108,0.517266187,0.649623713,0.672575648,25.67,-0.4
223,PI21,North,Prairie Island,21,17,0.865049,0.397498005,0.447140154,0.790062654,NA,NA
224,PI21,North,Prairie Island,21,2,0.87741905,0.497722128,0.461121157,0.817292043,NA,-11.5
225,PI21,North,Prairie Island,21,7,0.82808012,0.51371697,0.655946593,0.675888223,-13.8,-16.1
228,PI25,North,Prairie Island,25,11,0.512574467,0.567042993,0.293329228,0.747773254,10.3,-8.53
229,PI25,North,Prairie Island,25,16,0.85626991,0.450066127,0.319764455,0.783838331,-7.7,NA
