Measurement,Date,ID,Ramet,Block,Photo
Final,22-Oct,CE6     ,a                                     ,5,31.3
Final,22-Oct,FR11    ,a                                     ,5,9.77
Final,22-Oct,OP2     ,a                                     ,5,10.4
Final,22-Oct,FR6     ,a                                     ,5,14.9
Final,22-Oct,PI3     ,a                                     ,4,23.1
Final,22-Oct,PI3     ,a                                     ,4,5.4
Final,22-Oct,CE11    ,a                                     ,4,9.33
Final,22-Oct,PI5     ,a                                     ,4,6.57
Final,22-Oct,OP6     ,a                                     ,5,8.8
Final,22-Oct,FR8     ,a                                     ,5,10.7
Final,22-Oct,PI2     ,a                                     ,5,7.07
Final,22-Oct,RE5     ,a                                     ,5,12.7
Initial,22-Oct,PI1     ,d                                     ,18,21.3
Initial,22-Oct,RE5     ,d                                     ,18,56.4
Initial,22-Oct,FR12    ,d                                     ,19,18.3
Initial,22-Oct,FR12    ,d                                     ,19,11.2
Initial,22-Oct,CE9     ,d                                     ,19,7.64
Initial,22-Oct,PI14    ,d                                     ,19,18.8
Initial,22-Oct,CE3     ,d                                     ,19,12.2
Initial,22-Oct,FR11    ,d                                     ,19,25.4
Initial,22-Oct,CE7a    ,d                                     ,19,31.6
Initial,22-Oct,PI5     ,d                                     ,19,12.5
Initial,22-Oct,PI27    ,d                                     ,19,30.7
Initial,22-Oct,CE5     ,d                                     ,19,31.7
Initial,22-Oct,PL4     ,d                                     ,19,34.4
Initial,22-Oct,PI18    ,d                                     ,20,19.7
Initial,22-Oct,OP7     ,d                                     ,20,11.3
,,,,,
Final,28-Oct,PI13    ,d                                     ,20,5.86
Final,28-Oct,OP1     ,d                                     ,20,12.3
Final,28-Oct,PI2     ,d                                     ,20,7.76
Final,28-Oct,PI10    ,d                                     ,20,6.34
Final,28-Oct,OP6     ,d                                     ,20,7.66
Final,28-Oct,OP2     ,d                                     ,20,9.02
Initial,28-Oct,CE4     ,e                                     ,21,-0.681
Initial,28-Oct,FR12    ,e                                     ,21,0.599
Initial,28-Oct,PI27    ,e                                     ,21,-0.734
Initial,28-Oct,PI21    ,e                                     ,21,7.15
Initial,28-Oct,PI27    ,e                                     ,21,2.2
Initial,28-Oct,CE7a    ,e                                     ,21,16.5
Initial,28-Oct,PI18    ,e                                     ,21,4.85
Final,31-Oct,CE4     ,e                                     ,21,2.78
Final,31-Oct,FR12    ,e                                     ,21,4.44
Final,31-Oct,PI27    ,e                                     ,21,11.1
Final,31-Oct,PI21    ,e                                     ,21,5.99
Final,31-Oct,CE7a    ,e                                     ,21,17.2
Final,31-Oct,PI18    ,e                                     ,21,3.86
Initial,31-Oct,CE3     ,c                                     ,13,43.3
Initial,31-Oct,PI27    ,c                                     ,13,38.3
Initial,31-Oct,PI12    ,c                                     ,12,6.99
Initial,31-Oct,CE9     ,c                                     ,12,13.7
Initial,31-Oct,OP5     ,c                                     ,12,34.6
Initial,31-Oct,PI1     ,c                                     ,12,21.6
Initial,31-Oct,RE5     ,c                                     ,12,41.3
Initial,31-Oct,PI10    ,c                                     ,12,6.51
Initial,31-Oct,OP1     ,c                                     ,12,23.1
Initial,31-Oct,PI11    ,c                                     ,12,4.84
Initial,31-Oct,CE2     ,c                                     ,12,39.1
Initial,31-Oct,PI14    ,c                                     ,12,12.7
Final,3-Nov,CE3     ,c                                     ,13,35.9
Final,3-Nov,PI27    ,c                                     ,13,8.65
Final,3-Nov,PI12    ,c                                     ,12,6.23
Final,3-Nov,CE9     ,c                                     ,12,12
Final,3-Nov,PI1     ,c                                     ,12,6.29
Final,3-Nov,OP5     ,c                                     ,12,5.61
Final,3-Nov,RE5     ,c                                     ,12,28.2
Final,3-Nov,PI10    ,c                                     ,12,5.51
Final,3-Nov,PI11    ,c                                     ,12,6.64
Final,3-Nov,OP1     ,c                                     ,12,11.7
Final,3-Nov,PI14    ,c                                     ,12,9.09
Final,3-Nov,CE2     ,c                                     ,12,30.2
Initial,3-Nov,PI18    ,c                                     ,14,29.6
Initial,3-Nov,FR2     ,c                                     ,14,22.2
Initial,3-Nov,CE7b    ,c                                     ,13,32.8
Initial,3-Nov,FR12    ,c                                     ,13,26.8
Initial,3-Nov,PI30    ,c                                     ,13,3.53
Initial,3-Nov,OP8     ,c                                     ,14,34.8
Final,6-Nov,FR2     ,c                                     ,14,14.6
Final,6-Nov,PI18    ,c                                     ,14,16.4
Final,6-Nov,CE7b    ,c                                     ,13,31.3
Final,6-Nov,PI30    ,c                                     ,13,6.34
Final,6-Nov,FR12    ,c                                     ,13,28.7
Final,6-Nov,OP8     ,c                                     ,14,13.5
Initial,6-Nov,PI5     ,c                                     ,15,35.2
Initial,6-Nov,PI2     ,c                                     ,15,12.8
Initial,6-Nov,CE1     ,c                                     ,15,39.7
Initial,6-Nov,FR6     ,c                                     ,15,20.2
Initial,6-Nov,RE3     ,c                                     ,15,21.2
Initial,6-Nov,PI9     ,c                                     ,15,11.1
Initial,6-Nov,FR1     ,c                                     ,15,9.58
Initial,6-Nov,CE4     ,c                                     ,15,32
Final,9-Nov,PI5     ,c                                     ,15,15.8
Final,9-Nov,PI2     ,c                                     ,15,6.04
Final,9-Nov,CE1     ,c                                     ,15,22.9
Final,9-Nov,FR6     ,c                                     ,15,13.3
Final,9-Nov,PI9     ,c                                     ,15,8.85
Final,9-Nov,RE3     ,c                                     ,15,17.5
Final,9-Nov,CE4     ,c                                     ,15,29.7
Final,9-Nov,FR1     ,c                                     ,15,1.27
