ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number
PI4,PI4A,North,PI,Control,A,1,10.3,6.8,
PI4,PI4A,North,PI,Control,A,2,9.6,8.1,
PI4,PI4A,North,PI,Control,A,3,10.8,6.9,
PI4,PI4B,North,PI,Heat,B,1,10.9,6.7,
PI4,PI4B,North,PI,Heat,B,2,10.5,6.9,
PI4,PI4B,North,PI,Heat,B,3,10.9,6.6,
PI5,PI5A,North,PI,Heat,A,1,,,
PI5,PI5A,North,PI,Heat,A,2,,,
PI5,PI5A,North,PI,Heat,A,3,,,
PI5,PI5B,North,PI,Control,B,1,,,
PI5,PI5B,North,PI,Control,B,2,,,
PI5,PI5B,North,PI,Control,B,3,,,
PI9,PI9A,North,PI,Control,A,1,,,
PI9,PI9A,North,PI,Control,A,2,,,
PI9,PI9A,North,PI,Control,A,3,,,
PI9,PI9B,North,PI,Heat,B,1,11.1,7,98
PI9,PI9B,North,PI,Heat,B,2,11,6.7,132
PI9,PI9B,North,PI,Heat,B,3,10.7,6.8,78
PL2,PL2A,South,PL,Heat,A,1,,,
PL2,PL2A,South,PL,Heat,A,2,,,
PL2,PL2A,South,PL,Heat,A,3,,,
PL2,PL2B,South,PL,Control,B,1,,,
PL2,PL2B,South,PL,Control,B,2,,,
PL2,PL2B,South,PL,Control,B,3,,,
PL4,PL4A,South,PL,Heat,A,1,,,
PL4,PL4A,South,PL,Heat,A,2,,,
PL4,PL4A,South,PL,Heat,A,3,,,
PL4,PL4B,South,PL,Control,B,1,,,
PL4,PL4B,South,PL,Control,B,2,,,
PL4,PL4B,South,PL,Control,B,3,,,
PL5,PL5A,South,PL,Heat,A,1,,,
PL5,PL5A,South,PL,Heat,A,2,,,
PL5,PL5A,South,PL,Heat,A,3,,,
PL5,PL5B,South,PL,Control,B,1,,,
PL5,PL5B,South,PL,Control,B,2,,,
PL5,PL5B,South,PL,Control,B,3,,,
RE3,RE3A,South,RE,Heat,A,1,,,
RE3,RE3A,South,RE,Heat,A,2,,,
RE3,RE3A,South,RE,Heat,A,3,,,
RE3,RE3B,South,RE,Control,B,1,,,
RE3,RE3B,South,RE,Control,B,2,,,
RE3,RE3B,South,RE,Control,B,3,,,
RE5,RE5A,South,RE,Control,A,1,,,
RE5,RE5A,South,RE,Control,A,2,,,
RE5,RE5A,South,RE,Control,A,3,,,
RE5,RE5B,South,RE,Heat,B,1,,,
RE5,RE5B,South,RE,Heat,B,2,,,
RE5,RE5B,South,RE,Heat,B,3,,,
